No,Termo de busca,Plataforma,Tipo de modificador,Modificador,Palavra-chave,Idioma,País,Volume,CPC (US$)
182,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 60 5g","pt","br","18.1K","0.38"
183,"Smartphone","Google","Ordem alfabética","m","smartphone motorola","pt","br","18.1K","0.41"
184,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 60 5g 512 gb","pt","br","0","-"
185,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 60 fusion 256gb 5g","pt","br","0","-"
186,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 70","pt","br","0","-"
187,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 70 512gb 5g","pt","br","0","-"
188,"Smartphone","Google","Ordem alfabética","m","smartphone motorola signature","pt","br","0","-"
189,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 60","pt","br","0","-"
190,"Smartphone","Google","Ordem alfabética","m","smartphone motorola moto g06","pt","br","0","-"
191,"Smartphone","Google","Ordem alfabética","m","smartphone motorola moto g86 5g","pt","br","0","-"
192,"Smartphone","Google","Ordem alfabética","m","smartphone motorola moto g86","pt","br","0","-"
193,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 70 fusion 5g","pt","br","0","-"
194,"Smartphone","Google","Ordem alfabética","m","smartphone motorola signature 512gb 5g","pt","br","0","-"
195,"Smartphone","Google","Ordem alfabética","m","smartphone motorola edge 70 pro 5g 24gb","pt","br","0","-"
196,"Smartphone","Google","Ordem alfabética","n","smartphone na promoção","pt","br","8.1K","0.26"
197,"Smartphone","Google","Ordem alfabética","n","smartphone na claro","pt","br","6.6K","0.32"
198,"Smartphone","Google","Ordem alfabética","n","smartphone nokia","pt","br","1.9K","0.09"
199,"Smartphone","Google","Ordem alfabética","n","smartphone na casas bahia","pt","br","0","-"
200,"Smartphone","Google","Ordem alfabética","n","smartphone nfc","pt","br","0","-"
201,"Smartphone","Google","Ordem alfabética","n","smartphone novo","pt","br","0","-"
202,"Smartphone","Google","Ordem alfabética","n","smartphone nubia","pt","br","0","-"
203,"Smartphone","Google","Ordem alfabética","n","smartphone novo barato","pt","br","0","-"
204,"Smartphone","Google","Ordem alfabética","n","smartphone no mercadolivre","pt","br","0","-"
205,"Smartphone","Google","Ordem alfabética","n","smartphone note 14","pt","br","0","-"
206,"Smartphone","Google","Ordem alfabética","n","smartphone nfc 5g","pt","br","0","-"
207,"Smartphone","Google","Ordem alfabética","n","smartphone no paraguai","pt","br","0","-"
208,"Smartphone","Google","Ordem alfabética","n","smartphone no boleto","pt","br","0","-"
209,"Smartphone","Google","Ordem alfabética","n","smartphone nvidia","pt","br","0","-"
210,"Smartphone","Google","Ordem alfabética","n","smartphone nokia 2026","pt","br","0","-"
211,"Smartphone","Google","Ordem alfabética","o","smartphone oppo","pt","br","4.4K","0.23"
212,"Smartphone","Google","Ordem alfabética","o","smartphone o que é","pt","br","2.4K","0.21"
213,"Smartphone","Google","Ordem alfabética","o","smartphone oppo é bom","pt","br","720","0.27"
214,"Smartphone","Google","Ordem alfabética","o","smartphone oppo a5","pt","br","0","-"
215,"Smartphone","Google","Ordem alfabética","o","smartphone oppo a60","pt","br","0","-"
216,"Smartphone","Google","Ordem alfabética","o","smartphone oppo reno 14","pt","br","0","-"
217,"Smartphone","Google","Ordem alfabética","o","smartphone oukitel","pt","br","0","-"
218,"Smartphone","Google","Ordem alfabética","o","smartphone oneplus","pt","br","0","-"
